nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
516, 1915, 903, 
517, 1148, 1896, 
518, 1690, 677, 
519, 1895, 1362, 
520, 236, 1681, 
521, 2, 382, 
522, 1844, 637, 
523, 1993, 592, 
524, 1613, 1909, 
525, 487, 1191, 
526, 1345, 1241, 
527, 242, 386, 
528, 1784, 1286, 
529, 1156, 916, 
530, 1296, 389, 
531, 1131, 1859, 
532, 1318, 1351, 
533, 1510, 933, 
534, 1050, 965, 
535, 457, 1635, 
536, 1416, 710, 
537, 21, 1202, 
538, 561, 1529, 
539, 207, 1966, 
540, 10, 141, 
541, 1045, 1344, 
542, 986, 1006, 
543, 2019, 453, 
544, 936, 1569, 
545, 324, 963, 
546, 603, 771, 
547, 173, 2053, 
548, 756, 1105, 
549, 1262, 795, 
550, 289, 1722, 
551, 1719, 510, 
552, 1970, 1017, 
553, 174, 366, 
554, 2012, 2152, 
555, 701, 1225, 
556, 2021, 525, 
557, 768, 177, 
558, 619, 800, 
559, 420, 232, 
560, 995, 911, 
561, 248, 2032, 
562, 251, 1918, 
563, 246, 1833, 
564, 776, 671, 
565, 1572, 1490, 
566, 1491, 1172, 
567, 1194, 1807, 
568, 180, 1797, 
569, 28, 664, 
570, 450, 1562, 
571, 1049, 2105, 
572, 810, 2068, 
573, 1454, 314, 
574, 85, 1461, 
575, 79, 32, 
576, 691, 1925, 
577, 15, 1825, 
578, 753, 96, 
579, 1698, 945, 
580, 773, 1163, 
581, 475, 1114, 
582, 1149, 755, 
583, 1265, 169, 
584, 1958, 846, 
585, 496, 572, 
586, 1245, 2051, 
587, 1193, 1052, 
588, 1002, 1524, 
589, 328, 532, 
590, 340, 348, 
591, 1091, 1135, 
592, 1109, 130, 
593, 1065, 928, 
594, 1434, 322, 
595, 1384, 696, 
596, 1680, 1984, 
597, 1885, 603, 
598, 1887, 1852, 
599, 394, 645, 
600, 678, 1043, 
601, 1955, 1610, 
602, 24, 264, 
603, 1681, 1146, 
604, 1603, 1321, 
605, 976, 1522, 
606, 1366, 2150, 
607, 1891, 225, 
608, 1074, 560, 
609, 1283, 1199, 
610, 46, 521, 
611, 1606, 1858, 
612, 1110, 1475, 
613, 1800, 760, 
614, 415, 123, 
615, 620, 841, 
616, 1446, 552, 
617, 1462, 688, 
618, 820, 1260, 
619, 1090, 659, 
620, 1405, 614, 
621, 509, 1483, 
622, 1855, 954, 
623, 723, 1571, 
624, 320, 1594, 
625, 1435, 1014, 
626, 401, 536, 
627, 575, 1134, 
628, 436, 148, 
629, 1116, 618, 
630, 2106, 1997, 
631, 663, 205, 
632, 1204, 1032, 
633, 2060, 1201, 
634, 1128, 676, 
635, 2084, 1282, 
636, 955, 253, 
637, 1322, 1177, 
638, 1377, 140, 
639, 510, 1550, 
640, 1879, 604, 
641, 1865, 268, 
642, 616, 1588, 
643, 383, 703, 
644, 1127, 918, 
645, 1687, 2064, 
646, 2134, 1932, 
647, 1789, 1164, 
648, 1058, 512, 
649, 1178, 868, 
650, 852, 901, 
651, 395, 1028, 
652, 556, 1242, 
653, 864, 1717, 
654, 1729, 430, 
655, 1705, 1098, 
656, 1951, 1175, 
657, 268, 406, 
658, 1354, 153, 
659, 2048, 76, 
660, 61, 1660, 
661, 1503, 1045, 
662, 312, 824, 
663, 11, 459, 
664, 639, 1341, 
665, 182, 1476, 
666, 560, 155, 
667, 800, 801, 
668, 1948, 493, 
669, 1448, 1710, 
670, 41, 1856, 
671, 657, 307, 
672, 1637, 2149, 
673, 1329, 93, 
674, 802, 709, 
675, 40, 422, 
676, 762, 1669, 
677, 2147, 237, 
678, 1645, 65, 
679, 1300, 1397, 
680, 1089, 1659, 
681, 1589, 534, 
682, 504, 1733, 
683, 1629, 1192, 
684, 86, 1763, 
